
	carbon	oxygen	iron	nitrogen
GCF_000020285.1	1.868	7.843	1.771	0.599	6.656
GCF_000020325.1	6.496	4.586	3.517	6.883	13.339
GCF_000020365.1	8.989	16.468	4.782	6.936	13.513
GCF_000020385.1	6.086	7.042	3.311	6.834	14.414
GCF_000020425.1	0.180	0.416	2.050	0.801	3.360
GCF_000020445.1	2.449	10.155	7.652	8.984	17.942
GCF_000020465.1	8.780	11.343	5.235	6.379	12.818
GCF_000020485.1	5.499	7.392	1.292	0.502	5.618
GCF_000020505.1	7.916	7.279	6.007	6.895	12.562
GCF_000020525.1	6.444	11.573	3.971	4.512	11.801
GCF_000020545.1	11.094	9.598	5.534	7.536	12.314
GCF_000020565.1	0.082	1.468	0.202	0.576	4.132
GCF_000020585.3	1.410	3.267	2.856	6.780	10.970
GCF_000020605.1	0.941	7.973	1.795	0.771	5.091
GCF_000020625.1	7.927	12.144	4.792	6.006	11.958
GCF_000020645.1	11.296	11.635	5.589	6.521	12.176
GCF_000020665.1	0.302	3.123	2.381	4.214	13.205
GCF_000020685.1	0.904	2.085	3.529	3.029	14.944
GCF_000020725.1	4.840	9.607	4.976	9.278	15.342
GCF_000020765.1	-1.004	0.061	0.116	0.158	0.890
GCF_000020785.1	8.983	7.040	2.467	4.131	11.301
GCF_000020805.1	5.721	4.888	5.321	7.924	16.180
GCF_000020825.1	7.162	7.770	6.371	4.951	15.570
GCF_000020865.1	4.621	6.169	1.622	4.782	12.993
GCF_000020905.1	4.442	3.978	-0.206	0.132	4.654
GCF_000020945.1	4.467	3.542	0.403	0.472	5.365
GCF_000020965.1	3.535	7.009	1.207	0.901	4.948
GCF_000020985.1	10.452	13.867	3.484	6.546	11.600
GCF_000021025.1	0.579	2.945	2.985	7.545	14.272
GCF_000021045.1	1.845	7.282	5.343	6.227	16.644
GCF_000021265.1	-0.806	-0.723	0.010	-0.035	-0.289
GCF_000021285.1	0.404	2.869	-0.582	1.052	6.262
GCF_000021325.1	1.107	5.191	6.696	6.637	16.846
GCF_000021345.1	-2.211	3.875	6.448	7.761	18.354
GCF_000021365.1	1.176	3.811	2.862	4.898	15.598
GCF_000021385.1	10.459	9.066	6.296	6.021	12.683
GCF_000021425.1	0.599	0.631	1.722	1.298	3.285
GCF_000021545.1	7.307	7.015	2.488	7.898	11.082
GCF_000021565.1	9.154	8.892	3.525	7.906	13.584
GCF_000021645.1	3.990	6.041	1.070	0.678	5.013
GCF_000021685.1	2.101	5.288	2.640	2.925	13.314
GCF_000021725.1	6.509	6.192	1.531	5.173	9.372
GCF_000021745.1	2.089	18.590	7.179	5.035	17.503
GCF_000021765.1	3.169	4.586	3.342	8.820	15.811
GCF_000021805.1	3.104	8.001	6.561	3.990	16.983
GCF_000021825.1	3.296	11.458	6.815	3.848	16.698
GCF_000021865.1	3.310	9.720	5.862	7.882	16.084
GCF_000021885.1	2.538	1.253	-0.450	5.021	6.496
GCF_000021905.1	8.852	17.559	2.929	5.318	11.252
GCF_000021945.1	5.961	11.056	5.103	4.190	14.694
GCF_000021965.1	4.984	72.551	4.461	1.187	11.419
GCF_000021985.1	9.505	6.337	4.021	7.065	14.473
GCF_000022025.1	-2.969	0.865	3.489	2.363	13.109
GCF_000022045.1	3.236	8.491	7.577	4.113	16.307
GCF_000022065.1	2.780	8.237	1.745	0.956	7.737
GCF_000022085.1	1.962	16.775	6.938	4.960	18.436
GCF_000022105.1	-0.295	1.236	0.079	1.705	4.866
GCF_000022125.1	10.472	6.388	1.734	4.951	9.530
GCF_000022205.1	1.173	6.486	3.286	2.595	12.567
GCF_000022265.1	5.082	11.055	4.394	7.828	15.111
GCF_000022325.1	4.345	10.499	1.781	0.470	8.086
GCF_000022365.1	5.048	10.256	-0.153	0.155	5.813
GCF_000022385.1	4.919	3.568	2.560	1.921	11.828
GCF_000022525.1	1.302	1.275	1.293	3.927	7.301
GCF_000022545.1	5.407	7.253	-0.299	0.151	7.780
GCF_000022565.1	1.063	7.380	4.522	6.216	14.501
GCF_000022605.2	0.412	0.421	2.897	3.185	3.992
GCF_000022645.2	-0.453	4.732	4.241	5.834	15.843
GCF_000022725.1	-0.486	0.630	1.615	4.104	8.389
GCF_000022785.1	0.048	1.032	1.858	4.185	6.784
GCF_000022885.2	3.321	4.391	1.744	5.729	12.633
GCF_000022905.1	-0.481	-0.295	2.498	3.255	8.525
GCF_000022985.1	4.156	4.486	1.232	5.157	8.267
GCF_000023025.1	0.054	3.982	7.597	4.603	14.025
GCF_000023045.1	-0.277	0.088	2.751	3.583	8.578
GCF_000023065.1	1.945	7.287	5.877	2.399	12.881
GCF_000023085.1	2.836	1.153	0.066	0.356	3.156
GCF_000023105.1	-0.415	2.241	2.736	2.460	14.319
GCF_000023125.1	-0.049	3.711	3.491	3.778	15.478
GCF_000023145.1	-3.030	-0.746	2.908	2.883	7.979
GCF_000023165.1	-0.597	-0.311	0.383	-0.035	0.044
GCF_000023185.1	-0.268	4.056	6.323	6.494	18.300
GCF_000023205.1	-3.640	-0.097	3.591	2.511	9.882
GCF_000023225.1	9.863	12.572	5.946	7.816	13.583
GCF_000023245.1	-0.611	3.189	3.878	2.788	15.578
GCF_000023265.1	1.749	2.310	2.855	3.501	12.223
GCF_000023285.1	-1.096	-0.796	1.005	5.451	5.282
GCF_000023325.1	3.761	4.863	-0.163	0.470	5.683
GCF_000023345.1	-1.331	14.561	4.647	3.929	16.695
GCF_000023385.1	2.644	4.616	3.566	3.963	12.982
GCF_000023405.1	0.270	0.934	3.379	2.674	11.000
GCF_000023445.1	10.309	9.636	4.856	3.817	11.401
GCF_000023465.1	-1.917	2.991	4.281	5.182	9.901
GCF_000023585.1	0.050	2.477	3.200	3.628	13.805
GCF_000023605.1	1.758	4.902	2.093	4.464	13.908
GCF_000023645.1	5.099	9.607	4.976	9.278	15.342
GCF_000023705.1	2.011	16.206	3.826	6.735	14.220
GCF_000023725.1	-0.494	0.029	1.098	3.467	9.158
GCF_000023745.1	0.175	15.905	3.374	4.551	15.137
GCF_000023765.2	0.305	0.773	1.615	0.688	6.569
GCF_000023785.1	-1.387	2.353	3.928	4.683	14.774
GCF_000023825.1	-1.634	2.449	4.132	5.300	12.614
GCF_000023845.1	5.004	3.944	-1.402	2.650	5.830
GCF_000023865.1	1.757	4.893	4.907	2.241	15.032
GCF_000023885.1	4.835	2.408	-0.873	4.159	7.298
GCF_000023905.1	0.439	-0.312	0.766	-0.165	3.255
GCF_000023925.1	-1.599	-0.793	1.900	2.443	8.556
GCF_000023945.1	4.005	13.339	3.386	3.742	13.053
GCF_000023965.1	1.703	6.691	3.312	2.595	12.755
GCF_000023985.1	5.531	76.666	4.981	0.223	8.153
GCF_000024005.1	-0.111	2.837	3.427	4.765	16.317
GCF_000024025.1	-0.365	2.519	3.448	2.734	16.324
GCF_000024065.1	0.473	3.687	3.289	3.469	12.924
GCF_000024085.1	1.453	2.763	2.371	4.112	11.664
GCF_000024105.1	1.236	0.708	-1.062	2.157	3.097
GCF_000024125.1	-0.088	1.959	3.422	4.306	10.207
GCF_000024165.1	3.314	7.351	5.814	10.241	15.939
GCF_000024185.1	5.288	69.653	3.810	0.654	7.347
GCF_000024205.1	9.298	16.996	3.714	1.239	11.094
GCF_000024225.1	0.247	1.149	1.093	0.616	2.109
GCF_000024265.1	5.491	4.869	-0.541	4.238	8.234
GCF_000024285.1	0.813	1.833	4.552	2.029	9.913
GCF_000024325.1	10.989	9.200	2.806	5.031	9.189
GCF_000024345.1	-0.475	2.493	3.685	2.287	15.593
GCF_000024365.1	2.091	3.631	3.750	2.479	15.693
GCF_000024385.1	2.423	4.359	3.671	2.494	15.580
GCF_000024405.1	2.759	5.353	1.322	0.440	7.082
GCF_000024425.1	2.188	2.778	3.830	3.197	14.762
GCF_000024445.1	0.789	0.578	1.616	0.007	3.351
GCF_000024465.1	-0.169	5.219	3.259	4.185	14.534
GCF_000024505.1	0.533	1.855	1.842	3.704	7.228
GCF_000024545.1	3.273	3.769	3.576	2.023	15.600
GCF_000024565.1	-0.144	0.177	0.119	-0.093	0.420
GCF_000024605.1	12.285	13.529	1.607	4.551	8.258
GCF_000024625.1	8.389	77.125	5.084	0.512	7.970
GCF_000024645.1	1.758	4.902	2.093	4.464	13.908
GCF_000024665.1	0.213	5.268	4.426	0.988	8.878
GCF_000024685.1	2.248	2.718	3.654	3.848	12.743
GCF_000024725.1	3.709	15.268	3.246	8.551	15.925
GCF_000024765.1	3.954	6.016	5.452	4.247	15.755
GCF_000024785.1	0.639	2.229	3.576	2.308	14.718
GCF_000024805.1	-0.352	2.759	3.750	7.152	15.407
GCF_000024825.1	0.718	2.648	2.891	9.904	11.737
GCF_000024845.1	5.183	4.549	2.973	5.112	14.832
GCF_000024865.1	3.655	3.379	4.222	2.540	16.735
GCF_000024885.1	6.883	6.639	1.763	7.331	11.242
GCF_000024905.1	3.121	2.967	-0.273	0.723	4.234
GCF_000024925.1	-2.122	1.608	3.748	2.502	12.086
GCF_000024945.1	3.597	4.508	2.311	1.602	6.905
GCF_000024965.1	-1.219	5.771	2.336	2.881	12.754
GCF_000024985.1	2.288	2.523	1.319	3.254	12.828
GCF_000025005.1	2.981	6.938	2.760	3.358	14.059
GCF_000025025.1	5.311	11.000	1.197	1.604	8.218
GCF_000025065.1	2.602	6.243	2.924	1.720	13.784
GCF_000025085.1	1.725	0.942	2.418	1.828	8.581
GCF_000025125.1	4.729	4.866	5.757	3.104	9.285
GCF_000025185.1	0.666	14.288	3.731	6.251	15.440
GCF_000025205.1	0.833	0.454	1.115	-0.119	1.736
GCF_000025225.2	-0.217	3.158	1.504	-0.345	3.051
GCF_000025265.1	0.613	3.584	4.296	3.196	14.987
GCF_000025285.1	11.434	24.841	1.493	0.765	6.624
GCF_000025305.1	0.486	1.511	0.670	0.936	5.206
GCF_000025325.1	1.819	9.457	3.074	1.257	14.433
GCF_000025345.1	-0.445	3.114	3.565	2.860	16.348
GCF_000025365.1	-0.651	-0.886	0.010	0.218	0.021
GCF_000025405.2	-0.660	3.444	3.290	5.255	13.993
GCF_000025485.1	10.103	11.776	5.766	7.995	14.886
GCF_000025505.1	8.085	31.410	2.727	5.880	11.130
GCF_000025525.1	6.719	76.721	5.084	0.289	7.894
GCF_000025545.1	6.859	5.163	4.065	4.311	15.111
GCF_000025565.1	1.803	5.848	2.142	2.094	13.730
GCF_000025605.1	7.731	7.359	7.237	4.764	14.670
GCF_000025625.1	0.564	5.560	3.570	1.518	11.478
GCF_000025645.1	3.407	5.460	2.655	0.866	7.485
GCF_000025665.1	7.831	5.241	-0.103	0.431	5.840
GCF_000025685.1	1.510	6.377	2.951	2.951	13.247
GCF_000025705.1	7.998	7.432	5.036	9.083	15.634
GCF_000025725.1	5.050	6.944	4.351	6.829	13.372
GCF_000025805.1	1.025	3.094	3.733	3.917	13.000
GCF_000025845.1	-0.720	-0.886	0.010	-0.421	-0.171
GCF_000025865.1	5.412	75.803	5.429	3.845	11.338
GCF_000025885.1	3.127	6.445	-0.042	1.182	4.938
GCF_000025905.1	1.858	5.284	6.659	5.443	14.213
GCF_000025925.1	-0.668	1.804	1.087	1.384	7.166
GCF_000025945.1	9.741	9.521	1.084	5.152	10.937
GCF_000025965.1	1.063	3.394	3.489	9.052	14.780
GCF_000026005.1	0.533	2.128	2.021	3.704	7.343
GCF_000026025.1	-0.384	-0.902	0.221	0.590	1.564
GCF_000026045.1	2.553	10.274	3.370	2.354	12.747
GCF_000026065.1	-0.089	0.870	1.303	-0.295	1.709
GCF_000026085.1	-1.996	1.511	3.460	5.746	10.661
GCF_000026105.1	0.537	3.885	4.379	5.170	15.561
GCF_000026125.1	1.019	3.772	2.910	5.603	15.389
GCF_000026145.1	1.521	6.296	7.290	6.791	18.785
GCF_000026185.1	-0.372	3.572	3.352	4.186	13.669
GCF_000026205.1	-0.247	-0.625	0.166	-0.035	0.351
GCF_000026225.1	2.158	5.908	2.065	5.707	13.886
GCF_000026405.1	-1.046	-0.008	0.948	-0.057	2.153
GCF_000026685.1	-2.668	0.537	3.331	3.021	7.497
GCF_000027085.1	2.093	5.540	2.669	6.187	14.914
GCF_000027145.1	-0.009	1.423	2.790	1.434	7.152
GCF_000027165.1	-1.061	0.005	0.344	-0.057	1.525
GCF_000027185.1	-1.052	0.129	1.268	0.810	2.947
GCF_000027205.1	-0.645	3.936	3.682	4.711	13.327
GCF_000027225.1	-0.043	3.727	2.558	2.887	11.799
GCF_000027265.1	-0.844	3.695	3.682	4.783	13.136
GCF_000027325.1	-0.781	-0.845	0.051	-0.061	-0.171
GCF_000027345.1	-0.725	-0.894	0.002	-0.035	-0.115
GCF_000043285.1	2.060	2.711	3.117	0.915	8.034
GCF_000046685.1	0.422	1.174	1.111	1.216	6.462
GCF_000046705.1	-0.247	1.119	1.008	1.725	7.122
GCF_000046845.1	-1.120	3.137	3.063	1.954	12.769
GCF_000055785.1	0.830	4.877	2.642	1.526	13.216
GCF_000055945.1	3.063	1.816	0.467	4.300	4.325
GCF_000058485.1	2.137	5.236	6.291	2.474	18.001
GCF_000060285.1	0.404	1.209	2.871	1.434	6.486
GCF_000060345.1	-2.224	-0.215	4.200	4.973	9.668
GCF_000061505.1	1.825	7.216	6.373	9.165	17.508
GCF_000062885.1	3.662	4.998	3.448	2.648	16.503
GCF_000063445.1	7.140	74.788	4.253	1.275	11.265
GCF_000063485.1	-3.596	-0.519	2.906	2.287	9.452
GCF_000063505.1	2.428	7.722	8.245	3.720	13.973
GCF_000063525.1	2.829	7.946	8.274	3.421	13.823
GCF_000063545.1	0.563	1.568	1.466	3.934	6.767
GCF_000063605.1	-0.892	-0.391	0.010	-0.177	-0.115
GCF_000064305.2	-0.070	-0.418	1.681	5.310	9.325
GCF_000067165.1	4.799	5.446	3.389	7.040	16.175
GCF_000067205.1	-0.048	4.374	3.596	7.407	16.192
GCF_000069185.1	-1.210	1.547	4.709	2.368	15.909
GCF_000069225.1	-3.068	-1.112	2.269	2.460	8.891
GCF_000069925.1	-0.210	-0.625	0.166	-0.035	0.351
GCF_000069945.1	-0.527	0.415	2.953	3.305	8.882
GCF_000069965.1	3.092	5.397	2.144	3.168	11.983
GCF_000070465.1	-0.923	4.007	3.172	4.878	14.919
GCF_000072485.1	0.293	3.300	1.758	4.290	12.630
GCF_000085865.1	-0.352	-0.500	0.002	-0.116	0.139
GCF_000087965.2	-1.571	2.253	2.865	4.647	13.400
GCF_000090965.1	1.626	0.592	1.527	1.078	5.765
GCF_000091125.1	0.679	6.657	3.551	7.213	15.415
GCF_000091305.1	1.092	3.421	3.307	2.718	15.920
GCF_000091325.1	1.267	4.021	2.880	8.962	13.450
GCF_000091465.1	0.824	2.706	3.673	8.389	11.914
GCF_000091665.1	5.538	75.861	5.084	0.289	7.970
GCF_000091725.1	0.627	2.291	2.219	2.018	11.669
GCF_000091785.1	0.783	3.161	2.526	4.043	12.018
GCF_000091985.1	2.473	1.754	1.223	4.620	7.094
GCF_000092025.1	-2.138	2.583	3.758	7.854	15.664
GCF_000092105.1	4.670	15.319	4.405	5.752	14.566
GCF_000092125.1	4.752	5.084	3.437	5.524	15.425
GCF_000092185.1	4.235	2.500	-0.290	-0.091	3.810
GCF_000092205.1	10.212	13.809	4.115	4.697	13.348
GCF_000092225.1	-1.671	2.867	4.038	2.093	14.615
GCF_000092245.1	5.859	9.606	5.736	7.886	16.366
GCF_000092265.1	0.962	2.827	1.590	3.547	10.874
GCF_000092285.1	-1.580	2.561	3.853	5.844	15.187
GCF_000092305.1	7.717	74.966	4.981	0.712	7.911
GCF_000092365.1	1.740	0.949	-0.418	5.274	8.395
GCF_000092385.1	-0.832	2.748	3.325	2.860	15.545
GCF_000092405.1	5.096	8.649	2.839	1.672	9.911
GCF_000092425.1	1.483	3.055	4.132	4.086	14.673
GCF_000092465.1	6.722	8.023	-0.449	-0.163	4.887
GCF_000092505.1	-1.281	0.100	1.047	-0.057	2.254
GCF_000092605.1	2.690	3.591	0.809	7.036	12.230
GCF_000092645.1	2.029	4.235	3.528	3.999	14.411
GCF_000092785.1	-2.380	-2.066	1.187	3.973	7.516
GCF_000092825.1	-2.373	1.403	4.906	2.246	11.620
GCF_000092845.1	-0.017	5.997	0.088	1.633	5.232
GCF_000092865.1	-0.751	2.402	3.641	3.254	14.915
GCF_000092885.1	-1.358	16.016	5.929	3.417	18.072
GCF_000092905.1	4.622	3.803	4.344	4.312	13.795
GCF_000092925.1	0.532	15.385	3.249	7.405	15.553
GCF_000092945.1	8.670	20.521	4.571	4.083	11.976
GCF_000092985.1	3.166	2.715	3.472	2.291	14.923
GCF_000093025.1	1.133	15.629	3.292	7.108	15.885
GCF_000093065.1	0.519	-1.573	1.137	0.784	1.922
GCF_000093085.1	2.256	2.770	2.795	7.726	11.616
GCF_000093145.3	1.024	3.774	3.427	7.783	16.506
GCF_000093165.1	0.623	-0.194	1.592	3.185	2.870
GCF_000143085.1	1.695	11.246	3.199	7.127	15.320
GCF_000143145.1	1.520	15.975	4.233	4.126	15.968
GCF_000143165.1	4.141	11.134	1.993	4.463	11.582
GCF_000143225.1	-0.260	5.494	6.146	5.021	17.728
GCF_000143685.1	3.496	15.013	3.677	0.956	8.785
GCF_000143705.1	-2.126	-1.157	3.305	5.879	7.996
GCF_000143725.1	-0.240	1.758	0.160	1.633	4.662
GCF_000143845.1	-0.089	0.250	0.403	0.954	2.359
GCF_000143885.2	-1.503	2.249	4.605	2.093	14.463
GCF_000143965.1	9.181	16.951	3.715	7.232	11.283
GCF_000143985.1	1.734	10.693	3.575	0.723	6.697
GCF_000144405.1	-0.007	0.933	-0.403	2.955	5.939
GCF_000144605.1	-1.981	8.131	5.965	4.663	14.562
GCF_000144625.1	0.908	3.144	1.440	1.165	7.800
GCF_000144645.1	1.772	12.568	-0.613	0.651	4.784
GCF_000144695.1	4.643	14.368	2.333	0.651	7.529
GCF_000144915.1	5.503	1.922	-0.514	0.769	8.307
GCF_000145035.1	0.633	10.842	0.970	0.690	5.032
GCF_000145215.1	4.366	8.769	0.763	0.470	6.818
GCF_000145235.1	2.476	2.070	3.496	2.845	15.752
GCF_000145255.1	3.378	5.865	4.305	7.335	12.073
GCF_000145275.1	2.059	5.459	3.840	1.064	8.513
GCF_000145295.1	5.821	77.881	4.585	0.438	8.449
GCF_000145615.1	2.894	6.806	4.361	0.852	8.688
GCF_000145705.1	-1.057	-0.110	0.010	-0.177	-0.115
GCF_000146065.2	1.150	0.544	-1.026	0.865	4.359
GCF_000146165.2	2.292	5.151	2.886	9.529	14.326
GCF_000146185.1	0.193	6.406	2.707	0.689	4.825
GCF_000146565.1	1.850	0.436	3.424	3.162	12.781
GCF_000146875.3	3.497	2.985	2.878	1.950	9.955
GCF_000147055.1	2.430	8.433	5.788	1.411	15.110
GCF_000147075.1	0.760	6.915	5.018	1.677	8.175
GCF_000147335.1	0.616	11.906	7.176	4.205	17.367
GCF_000147355.1	7.307	6.194	3.450	6.867	12.374
GCF_000147695.2	3.044	4.844	1.998	0.902	8.104
GCF_000147715.2	1.812	3.015	0.167	0.464	5.897
GCF_000147815.2	-0.295	2.515	3.442	2.860	15.526
GCF_000147835.2	-0.360	2.571	3.410	7.233	15.469
GCF_000147875.1	4.112	71.905	4.672	0.428	9.740
GCF_000148385.1	9.801	5.456	1.630	2.632	9.403
GCF_000148625.1	-0.175	-0.723	0.010	-0.177	-0.233
GCF_000148645.1	2.376	4.525	2.754	9.853	12.914
GCF_000148685.1	0.034	14.162	3.434	5.274	16.919
GCF_000148935.1	0.308	4.045	3.808	5.010	14.951
GCF_000151105.2	7.451	6.666	-0.255	0.545	6.182
GCF_000151205.2	5.257	6.338	-0.423	0.223	6.420
GCF_000152245.2	1.175	16.221	3.841	0.476	7.392
GCF_000152265.2	4.274	1.790	1.890	1.881	10.867
GCF_000152825.2	-0.288	2.571	3.076	3.799	13.476
GCF_000152925.2	-1.366	-1.237	3.323	3.386	7.298
GCF_000152945.2	-0.759	-0.056	3.680	3.467	7.982
GCF_000153165.2	1.226	3.319	3.168	5.761	13.457
GCF_000153405.2	2.297	6.568	2.381	8.231	11.500
GCF_000153485.2	0.070	-0.409	3.194	3.964	8.581
GCF_000154745.2	1.820	4.723	3.805	3.885	14.806
GCF_000154785.2	2.734	9.780	5.912	6.404	17.100
GCF_000155675.2	0.639	4.411	4.695	4.017	15.877
GCF_000155735.2	0.410	5.063	4.841	4.017	14.564
GCF_000157355.2	-0.296	2.006	1.437	0.465	3.764
GCF_000157895.3	2.920	4.579	4.572	3.212	16.489
GCF_000158275.2	0.733	2.381	0.869	1.078	4.031
GCF_000159155.2	0.451	0.637	1.261	-0.119	1.835
GCF_000161795.2	2.371	5.011	8.373	3.421	13.389
GCF_000162235.2	0.893	1.775	0.723	0.893	4.349
GCF_000163055.2	0.631	1.348	0.465	3.847	5.266
GCF_000163895.2	0.702	0.214	-0.509	0.929	2.630
GCF_000164675.2	-1.307	-0.506	0.344	0.810	1.393
GCF_000164695.2	-0.623	-0.565	2.669	2.022	9.331
GCF_000164865.1	2.276	5.218	1.685	2.236	12.794
GCF_000164885.1	-1.486	2.819	3.989	2.464	11.118
GCF_000164965.1	0.648	-0.449	0.538	0.007	1.966
GCF_000164985.3	3.125	3.065	3.614	1.950	10.016
GCF_000165465.1	1.258	1.460	-0.328	1.117	5.254
GCF_000165485.1	-0.955	2.536	3.559	4.169	15.179
GCF_000165505.1	2.087	4.670	4.196	1.245	9.587
GCF_000165715.2	2.407	13.404	3.560	5.774	12.429
GCF_000165835.1	1.359	3.834	3.499	6.164	16.944
GCF_000165925.1	1.993	0.885	3.376	3.426	12.605
GCF_000166055.1	2.449	8.561	5.435	7.684	14.178
GCF_000166075.1	4.400	8.741	3.068	4.139	14.427
GCF_000166095.1	5.398	75.988	5.084	0.512	7.841
GCF_000166135.1	1.052	3.914	4.680	2.363	16.474
GCF_000166275.1	-0.306	2.060	2.773	4.368	10.788
GCF_000166295.1	-0.661	2.015	4.502	6.391	14.961
GCF_000166335.1	4.408	13.008	0.691	0.470	7.094
GCF_000166355.1	3.982	11.816	3.949	0.470	9.296
GCF_000166395.1	-0.640	3.604	3.513	3.687	12.438
GCF_000166415.1	1.338	18.887	1.305	1.040	6.880
GCF_000166695.1	4.345	12.097	4.030	0.470	9.047
GCF_000169195.2	2.633	0.029	3.852	4.252	10.624
GCF_000170955.2	-0.999	-0.359	0.575	-0.154	0.553
GCF_000172155.1	0.092	3.006	4.269	4.386	14.126
GCF_000172635.2	-1.878	4.420	3.840	4.251	11.129
GCF_000172995.2	0.832	9.609	2.871	2.977	13.430
GCF_000174395.2	-0.045	0.645	1.700	0.429	2.515
GCF_000175095.2	-1.001	2.390	3.639	7.453	14.505
GCF_000175115.2	5.434	8.972	4.876	7.906	15.794
GCF_000175215.2	-1.489	2.501	3.930	5.844	14.772
GCF_000175575.2	6.288	4.058	2.741	2.319	11.967
GCF_000175935.2	0.599	7.567	6.002	6.632	17.177
GCF_000176035.2	1.490	7.822	6.478	5.132	17.551
GCF_000176115.2	-1.030	2.468	3.362	2.221	15.900
GCF_000176835.2	1.348	5.456	2.792	5.997	15.216
GCF_000176855.2	-0.929	4.230	2.942	4.191	15.544
GCF_000176915.2	9.455	12.359	4.095	4.421	10.596
GCF_000176935.3	-0.722	16.138	6.946	5.274	17.776
GCF_000177195.2	-0.296	2.019	3.410	2.023	15.464
GCF_000177235.2	2.379	3.504	3.526	4.498	13.519
GCF_000177255.2	2.100	10.155	7.652	9.571	17.820
GCF_000177535.2	-3.326	-0.598	4.150	2.603	8.871
GCF_000177615.2	0.995	4.183	5.450	2.575	15.857
GCF_000177635.2	4.297	8.311	5.541	6.385	13.714
GCF_000178115.2	0.789	6.922	3.287	1.479	6.941
GCF_000178835.2	0.539	4.974	6.185	0.813	8.657
GCF_000178955.2	1.891	5.857	4.926	5.507	16.136
GCF_000178975.2	2.056	2.104	3.791	4.181	16.001
GCF_000179015.2	0.346	3.907	3.376	6.025	15.853
GCF_000179035.2	-0.043	-0.153	0.010	-0.082	0.139
GCF_000179395.2	-2.555	0.346	3.175	2.304	11.047
GCF_000179575.2	6.027	76.593	4.981	0.735	8.441
GCF_000179635.2	1.068	8.049	2.558	0.771	4.972
GCF_000179915.2	2.140	6.148	4.263	5.905	15.447
GCF_000180175.2	0.329	4.445	4.306	5.731	13.141
GCF_000182745.2	-1.146	2.975	3.671	6.188	13.618
GCF_000183135.1	1.078	6.044	5.704	4.761	10.930
GCF_000183155.1	-0.130	-0.641	0.906	6.397	8.607
GCF_000183365.1	-0.498	-0.311	0.383	-0.035	0.100
GCF_000183385.1	-0.892	-0.391	0.010	-0.177	-0.115
GCF_000183405.1	5.377	8.550	3.333	5.675	12.283
GCF_000183425.1	-0.651	1.051	3.467	4.529	9.696
GCF_000183665.1	0.226	0.422	1.615	0.688	6.731
GCF_000183725.1	7.637	6.346	5.326	6.811	14.977
GCF_000183745.1	2.199	2.279	2.278	6.256	13.337
GCF_000184065.1	-1.455	1.128	3.460	4.245	10.120
GCF_000184325.1	2.331	6.192	3.080	8.077	13.358
GCF_000184345.1	0.950	5.155	2.736	1.677	7.134
GCF_000184685.1	3.094	3.509	3.482	7.599	15.960
GCF_000184705.1	2.219	2.235	3.804	3.740	12.085
GCF_000184745.1	-1.228	7.128	4.647	4.022	16.178
GCF_000185245.1	1.991	2.603	1.602	3.931	8.382
GCF_000185745.1	-0.160	1.920	1.100	4.451	9.602
GCF_000185805.1	7.491	9.267	2.099	4.757	9.865
GCF_000185885.1	0.634	1.115	2.515	1.940	10.020
GCF_000185905.1	0.426	17.252	6.478	3.889	17.551
GCF_000185965.1	-0.888	3.918	2.884	7.048	14.788
GCF_000185985.2	2.127	2.072	2.590	0.915	7.563
GCF_000186225.1	0.361	4.411	1.015	1.323	6.923
GCF_000186245.1	7.021	5.082	3.450	7.088	12.941
GCF_000186265.1	-0.715	0.568	3.475	5.310	11.811
GCF_000186345.1	4.394	15.618	3.781	6.693	14.111
GCF_000186365.1	4.426	4.008	-0.645	0.132	4.535
GCF_000186385.1	0.420	1.308	3.959	2.856	11.144
GCF_000186885.1	9.122	10.441	4.100	6.219	13.212
GCF_000186985.1	-0.135	0.121	0.156	-0.142	0.120
GCF_000187005.1	4.894	3.575	2.700	5.584	13.627
GCF_000187705.1	1.630	5.382	3.429	3.302	14.045
GCF_000187935.1	-1.532	-0.508	0.056	1.092	2.074
GCF_000189295.2	9.030	11.625	5.398	7.439	13.597
GCF_000189415.1	-0.572	0.921	1.419	2.870	8.050
GCF_000189535.1	-1.832	-0.225	3.293	2.318	13.091
GCF_000189775.2	3.317	5.235	1.679	1.167	6.912
GCF_000190315.1	7.266	4.512	0.643	0.967	9.610
GCF_000190435.1	2.046	5.502	1.395	0.693	4.518
GCF_000190535.1	1.269	3.478	-0.452	1.117	7.235
GCF_000190555.1	-1.044	1.826	2.793	3.681	10.972
GCF_000190575.1	0.480	1.954	0.903	0.851	7.173
GCF_000190595.1	-1.390	1.149	3.574	4.260	11.172
GCF_000190635.1	4.951	14.785	3.874	0.813	11.112
GCF_000190735.1	-0.135	3.341	3.465	5.633	12.575
GCF_000191045.1	8.232	11.908	2.022	4.757	9.719
GCF_000191145.1	-0.934	3.661	2.549	2.311	13.404
GCF_000191545.1	-1.184	1.172	1.026	-0.438	1.914
GCF_000191585.1	5.381	75.355	4.400	1.259	9.256
GCF_000191925.1	-0.335	-0.791	0.367	0.509	1.663
GCF_000192635.1	-2.069	2.248	3.569	3.792	15.615
GCF_000192745.1	-0.002	4.789	4.502	5.778	16.595
GCF_000192845.1	0.327	2.777	3.359	5.137	15.461
GCF_000192865.1	-1.377	2.704	2.501	3.768	11.780
GCF_000193205.1	-2.033	-0.450	0.138	-0.284	2.242
